metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
elasticsearch.siren.memory.allocated_direct_memory_in_bytes,gauge,,byte,,The actual direct memory allocated by Netty in bytes.,0,elastic_siren,allocated direct memory,
elasticsearch.siren.memory.allocated_root_memory_in_bytes,gauge,,byte,,The actual direct memory allocated by the root allocator in bytess.,0,elastic_siren,allocated root memory,
elasticsearch.siren.memory.root_allocator_dump_reservation_in_bytes,gauge,,byte,,Dump of the root allocator initial reservation direct memory allocated.,0,elastic_siren,root allocator dump reservation,
elasticsearch.siren.memory.root_allocator_dump_actual_in_bytes,gauge,,byte,,Dump of the root allocator actual direct memory allocated.,0,elastic_siren,root allocator dump actual,
elasticsearch.siren.memory.root_allocator_dump_peak_in_bytes,gauge,,byte,,Dump of the root allocator peak direct memory allocated.,0,elastic_siren,root allocator dump peak,
elasticsearch.siren.memory.root_allocator_dump_limit_in_bytes,gauge,,byte,,Dump of the root allocator limit direct memory allocated.,0,elastic_siren,root allocator dump limit,
elasticsearch.siren.planner.thread_pool.job.permits,count,,thread,,The number of thread pool job permits.,0,elastic_siren,thread_pool job permits,
elasticsearch.siren.planner.thread_pool.job.queue,count,,thread,,The number of queued thread pool job.,0,elastic_siren,thread_pool job queued,
elasticsearch.siren.planner.thread_pool.job.active,count,,thread,,The number of active thread pool jobs.,0,elastic_siren,thread_pool job active,
elasticsearch.siren.planner.thread_pool.job.largest,count,,thread,,The number of thread pool largest jobs.,0,elastic_siren,thread_pool job largest,
elasticsearch.siren.planner.thread_pool.job.completed,count,,thread,,The number of thread pool jobs completed.,0,elastic_siren,thread_pool job completed,
elasticsearch.siren.planner.thread_pool.task.permits,count,,thread,,The number of thread pool task permits.,0,elastic_siren,thread_pool task permits,
elasticsearch.siren.planner.thread_pool.task.queue,count,,thread,,The number of queued thread pool tasks.,0,elastic_siren,thread_pool task queued,
elasticsearch.siren.planner.thread_pool.task.active,count,,thread,,The number of active thread pool tasks.,0,elastic_siren,thread_pool task active,
elasticsearch.siren.planner.thread_pool.task.largest,count,,thread,,The number of thread pool largest tasks.,0,elastic_siren,thread_pool task largest,
elasticsearch.siren.planner.thread_pool.task.completed,count,,thread,,The number of thread pool tasks completed.,0,elastic_siren,thread_pool task completed,
elasticsearch.siren.query_cache.memory_size_in_bytes,gauge,,bytes,,The size in bytes of the cache.,0,elastic_siren,query cache memory size,
elasticsearch.siren.query_cache.total_count,count,,bytes,,The total number of lookups in the cache,0,elastic_siren,query cache total count,
elasticsearch.siren.query_cache.hit_count,count,,hit,,The number of successful lookups in the cache,0,elastic_siren,query cache hit count,
elasticsearch.siren.query_cache.miss_count,count,,miss,,The number of lookups in the cache that failed to retrieve data,0,elastic_siren,query cache miss count,
elasticsearch.siren.query_cache.cache_size,gauge,,entries,,The number of entries in the cache,0,elastic_siren,query cache size,
elasticsearch.siren.query_cache.cache_count,count,,count,,The number of entries that have been cached,0,elastic_siren,query cache count,
elasticsearch.siren.query_cache.evictions,gauge,,eviction,,The number of entries that have been evicted from the cache,0,elastic_siren,query cache evictions,
elasticsearch.siren.optimizer_statistics.size,count,,entries,,The estimated number of entries in the cache.,0,elastic_siren,optimizer statistics size,
elasticsearch.siren.optimizer_statistics.hit_count,count,,hit,,The number of cache hits.,0,elastic_siren,optimizer statistics hits,
elasticsearch.siren.optimizer_statistics.miss_count,count,,miss,,The number of cache misses.,0,elastic_siren,optimizer statistics miss,
elasticsearch.siren.optimizer_statistics.eviction_count,count,,eviction,,The number of evicted entries.,0,elastic_siren,optimizer statistics evictions,
elasticsearch.siren.optimizer_statistics.load_exception_count,count,,fail,,The number of times a request failed to execute as its response was to be put in the cache.,0,elastic_siren,optimizer failures,
elasticsearch.siren.optimizer_statistics.load_success_count,count,,success,,The number of times a request was executed successfully as its response was to be put in the cache.,0,elastic_siren,optimizer statistics successes,
elasticsearch.siren.optimizer_statistics.total_load_time_in_millis,gauge,,millisecond,,The time spent in milliseconds to load request responses into the cache.,0,elastic_siren,optimizer statistics load time,
